Epoch 4, Loss: 0.4260638654232025, Accuracy: 99.5186767578125, Val Loss: 0.01828540489077568, Val Accuracy: 99.59236145019531
Epoch 5, Loss: 0.3216974139213562, Accuracy: 99.6374282836914, Val Loss: 0.010528564453125, Val Accuracy: 99.73342895507812
Epoch 6, Loss: 0.21102376282215118, Accuracy: 99.72053527832031, Val Loss: 0.006805578712373972, Val Accuracy: 99.80571746826172
Epoch 7, Loss: 0.1605745553970337, Accuracy: 99.7644271850586, Val Loss: 0.006085618399083614, Val Accuracy: 99.82669067382812
Epoch 8, Loss: 0.12920068204402924, Accuracy: 99.80362701416016, Val Loss: 0.0051272292621433735, Val Accuracy: 99.83997344970703
Epoch 9, Loss: 0.10706595331430435, Accuracy: 99.83084869384766, Val Loss: 0.005041385535150766, Val Accuracy: 99.85873413085938
Epoch 10, Loss: 0.0900089368224144, Accuracy: 99.85693359375, Val Loss: 0.004727500025182962, Val Accuracy: 99.87344360351562
Epoch 11, Loss: 0.08086071163415909, Accuracy: 99.86795043945312, Val Loss: 0.005476224236190319, Val Accuracy: 99.84638977050781
Epoch 12, Loss: 0.07910944521427155, Accuracy: 99.87382507324219, Val Loss: 0.004643163178116083, Val Accuracy: 99.87879943847656
Epoch 13, Loss: 0.07031357288360596, Accuracy: 99.88304901123047, Val Loss: 0.004895700141787529, Val Accuracy: 99.87239837646484
Epoch 14, Loss: 0.06257523596286774, Accuracy: 99.89574432373047, Val Loss: 0.004691160283982754, Val Accuracy: 99.88687896728516
Epoch 15, Loss: 0.06146930903196335, Accuracy: 99.89677429199219, Val Loss: 0.004601440392434597, Val Accuracy: 99.89060974121094
Epoch 16, Loss: 0.059293102473020554, Accuracy: 99.90167236328125, Val Loss: 0.004363381303846836, Val Accuracy: 99.89402770996094
Epoch 17, Loss: 0.05347353219985962, Accuracy: 99.90936279296875, Val Loss: 0.004185528960078955, Val Accuracy: 99.90132141113281
Epoch 18, Loss: 0.05263360217213631, Accuracy: 99.90894317626953, Val Loss: 0.004250690806657076, Val Accuracy: 99.89899444580078
Epoch 19, Loss: 0.05029084533452988, Accuracy: 99.91067504882812, Val Loss: 0.0038526810240000486, Val Accuracy: 99.89585876464844
Epoch 20, Loss: 0.049338363111019135, Accuracy: 99.91313171386719, Val Loss: 0.00402936851605773, Val Accuracy: 99.90058898925781
Epoch 21, Loss: 0.0457892082631588, Accuracy: 99.91924285888672, Val Loss: 0.0037616982590407133, Val Accuracy: 99.90174102783203
Epoch 22, Loss: 0.042930178344249725, Accuracy: 99.92345428466797, Val Loss: 0.004744878038764, Val Accuracy: 99.90232849121094
Epoch 23, Loss: 0.04952090233564377, Accuracy: 99.91448974609375, Val Loss: 0.003793043550103903, Val Accuracy: 99.90100860595703
Epoch 24, Loss: 0.04197641462087631, Accuracy: 99.92569732666016, Val Loss: 0.0039658863097429276, Val Accuracy: 99.8998794555664
Epoch 25, Loss: 0.03954929858446121, Accuracy: 99.92942810058594, Val Loss: 0.0037456315476447344, Val Accuracy: 99.9078369140625
Epoch 26, Loss: 0.03769252449274063, Accuracy: 99.93192291259766, Val Loss: 0.004175274167209864, Val Accuracy: 99.90669250488281
Epoch 27, Loss: 0.0366840735077858, Accuracy: 99.93287658691406, Val Loss: 0.004337630234658718, Val Accuracy: 99.90560150146484
Epoch 28, Loss: 0.03565562516450882, Accuracy: 99.934814453125, Val Loss: 0.004108009394258261, Val Accuracy: 99.90608978271484
Epoch 29, Loss: 0.03487571328878403, Accuracy: 99.93629455566406, Val Loss: 0.004234520718455315, Val Accuracy: 99.90497589111328
Epoch 30, Loss: 0.034383971244096756, Accuracy: 99.93718719482422, Val Loss: 0.004173015244305134, Val Accuracy: 99.90388488769531
Epoch 31, Loss: 0.033888109028339386, Accuracy: 99.93807220458984, Val Loss: 0.004031071905046701, Val Accuracy: 99.90348815917969
Epoch 32, Loss: 0.033633094280958176, Accuracy: 99.93843841552734, Val Loss: 0.00391473900526762, Val Accuracy: 99.9039077758789
Epoch 33, Loss: 0.033441148698329926, Accuracy: 99.93885803222656, Val Loss: 0.003808054607361555, Val Accuracy: 99.90401458740234
Epoch 34, Loss: 0.0332372710108757, Accuracy: 99.93928527832031, Val Loss: 0.00397707661613822, Val Accuracy: 99.90303802490234
